Price,Close,High,Low,Open,Volume
Ticker,HINDCOPPER.NS,HINDCOPPER.NS,HINDCOPPER.NS,HINDCOPPER.NS,HINDCOPPER.NS
Date,,,,,
2010-08-17,406.4859619140625,412.3079722977616,404.33135612103035,409.9241537178127,80058
2010-08-18,406.39422607421875,412.21623581139824,405.24816226690285,410.97848130348234,97173
2010-08-19,411.6202392578125,422.8974945881347,407.08181592874104,409.3281119158714,305309
2010-08-20,407.1276550292969,415.2417915701567,405.2481217651744,411.6660784447134,104845
2010-08-23,405.523193359375,409.51150087670675,404.14791683478285,407.1735419769291,60198
2010-08-24,400.25128173828125,407.95285230837555,398.87600527648885,405.4773434851208,71595
2010-08-25,387.8280334472656,400.66394944788436,385.994331161463,400.66394944788436,82235
2010-08-26,388.5155944824219,396.9964658664039,386.9111053016685,390.5785091433905,147781
2010-08-27,375.496337890625,390.57854891761883,371.59972091198676,387.55295163211747,91333
2010-08-30,372.33319091796875,383.24371205263964,370.545320303685,377.74260613800845,90463
2010-08-31,363.71484375,371.2330060065109,358.03035571940325,371.2330060065109,98582
2010-09-01,427.0233459472656,433.57882488914277,360.32243683795036,366.6945623710063,4285693
2010-09-02,410.70343017578125,434.5873883207913,407.0818574144121,434.5873883207913,1399271
2010-09-03,418.86346435546875,435.4126168508804,407.2194432559298,413.45404802594896,1647602
2010-09-06,421.7515563964844,432.2953453063965,415.7003328173887,421.8432471134558,437900
2010-09-07,425.41888427734375,440.73030789918266,421.84317080292385,423.2184473684756,1114116
2010-09-08,417.0755615234375,429.68226420071267,415.379381385389,421.75150774884185,213752
2010-09-09,417.2130432128906,427.7109985274036,415.33350982403823,419.0009138842946,253213
2010-09-13,418.4508361816406,427.1609216261799,407.9987392442085,410.8868146113828,221853
2010-09-14,411.6661071777344,421.61394632136233,410.01578653697965,419.55103153038255,116573
2010-09-15,409.5115661621094,419.8720010871013,408.09045805216977,412.1245975714252,105657
2010-09-16,403.8270568847656,416.2503774423935,401.99335478149516,409.8324200809469,165233
2010-09-17,404.33135986328125,410.7493179563492,401.5808063948235,405.2482110194338,131222
2010-09-20,403.36859130859375,408.59462499597896,373.6167664450515,402.49757170399414,177340
2010-09-21,414.6000671386719,425.7856334610851,403.78120767002054,407.2652585416504,788386
2010-09-22,407.8153991699219,418.26752514689395,406.1650782157041,415.92953781832796,224259
2010-09-23,407.9528503417969,415.1501080730916,405.2481287879484,408.04451305475084,154926
2010-09-24,406.2108154296875,412.35372818669856,403.4144311331793,407.9986860324199,88457
